gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,extracurricular,backlogs,projects,communication,status
M,71.35,Others,67.63,Others,Science,60.62,Comm&Mgmt,Yes,66.01,Mkt&HR,62.59,Yes,1,2,8.4,Placed
M,74.94,Others,49.99,Others,Science,64.02,Comm&Mgmt,No,53.35,Mkt&Fin,56.99,No,0,2,4.2,Not Placed
M,72.77,Central,61.52,Central,Science,67.28,Comm&Mgmt,No,80.7,Mkt&HR,54.0,No,0,1,9.5,Placed
M,60.68,Central,66.95,Central,Commerce,64.01,Sci&Tech,No,83.92,Mkt&Fin,60.61,Yes,1,4,5.7,Placed
M,80.6,Others,82.0,Others,Commerce,77.6,Comm&Mgmt,No,91.0,Mkt&Fin,74.49,No,1,4,6.2,Placed
M,56.33,Central,57.84,Central,Arts,70.91,Comm&Mgmt,No,63.3,Mkt&Fin,53.9,Yes,0,2,6.3,Not Placed
F,50.8,Central,75.43,Central,Science,58.37,Sci&Tech,Yes,70.56,Mkt&Fin,55.4,No,0,2,5.9,Not Placed
M,58.0,Central,61.0,Central,Commerce,60.0,Comm&Mgmt,Yes,62.0,Mkt&HR,60.85,Yes,1,4,8.2,Placed
M,89.4,Others,65.66,Others,Science,71.25,Sci&Tech,No,72.0,Mkt&HR,63.23,Yes,0,2,7.0,Placed
F,77.88,Central,52.39,Central,Science,74.11,Comm&Mgmt,No,79.04,Mkt&HR,67.14,Yes,1,1,6.3,Placed
F,73.19,Others,53.61,Central,Commerce,55.23,Comm&Mgmt,No,80.66,Mkt&HR,59.95,Yes,0,5,8.9,Placed
F,77.0,Central,86.0,Central,Arts,56.0,Others,No,57.0,Mkt&Fin,64.08,Yes,1,3,8.6,Placed
M,62.0,Central,60.33,Others,Science,64.21,Sci&Tech,No,63.0,Mkt&HR,60.02,No,1,3,5.5,Not Placed
F,56.47,Others,84.23,Central,Science,65.95,Sci&Tech,No,92.73,Mkt&HR,64.26,No,1,2,8.1,Placed
M,61.34,Central,82.66,Others,Science,77.42,Comm&Mgmt,No,65.6,Mkt&Fin,68.84,No,0,4,8.4,Placed
M,60.4,Central,66.6,Others,Science,65.0,Comm&Mgmt,No,71.0,Mkt&HR,52.71,No,0,5,8.7,Placed
M,63.0,Central,67.0,Central,Commerce,74.0,Comm&Mgmt,No,82.0,Mkt&Fin,60.44,No,0,0,6.4,Not Placed
F,69.5,Central,70.0,Central,Science,72.0,Sci&Tech,No,57.2,Mkt&HR,54.8,Yes,3,2,5.1,Placed
M,57.02,Central,51.29,Central,Science,55.84,Comm&Mgmt,No,70.0,Mkt&Fin,67.56,No,0,3,3.3,Not Placed
M,87.12,Central,81.3,Central,Science,55.58,Comm&Mgmt,Yes,59.58,Mkt&HR,59.77,No,1,4,5.5,Placed
M,55.47,Others,62.55,Others,Science,68.14,Comm&Mgmt,Yes,90.41,Mkt&Fin,58.82,No,0,3,8.4,Placed
F,74.9,Others,57.0,Others,Science,62.0,Others,Yes,80.0,Mkt&Fin,60.78,No,0,4,7.0,Placed
M,77.49,Others,54.45,Others,Commerce,64.67,Sci&Tech,No,63.93,Mkt&Fin,72.86,No,3,2,7.0,Placed
F,64.0,Central,73.5,Central,Commerce,73.0,Comm&Mgmt,No,52.0,Mkt&HR,56.7,No,0,2,4.8,Placed
M,52.81,Central,67.66,Central,Science,63.04,Sci&Tech,No,72.0,Mkt&HR,58.99,No,0,4,6.6,Not Placed
M,72.65,Central,73.25,Central,Arts,80.71,Sci&Tech,No,69.31,Mkt&HR,63.63,Yes,1,4,5.3,Placed
M,74.32,Others,65.71,Others,Commerce,70.55,Sci&Tech,No,75.06,Mkt&Fin,56.09,No,0,2,7.4,Placed
M,71.81,Central,68.05,Others,Science,71.6,Sci&Tech,Yes,86.08,Mkt&HR,67.04,No,0,5,7.7,Placed
M,58.0,Others,60.0,Others,Science,72.0,Sci&Tech,No,74.0,Mkt&Fin,53.62,Yes,1,3,7.8,Placed
F,78.44,Others,81.86,Others,Science,69.87,Sci&Tech,Yes,74.97,Mkt&Fin,66.0,No,0,4,7.1,Placed
M,65.71,Others,67.58,Central,Science,68.53,Comm&Mgmt,No,50.0,Mkt&HR,54.7,No,0,2,6.2,Not Placed
M,82.0,Others,61.0,Others,Science,62.0,Sci&Tech,No,89.0,Mkt&Fin,65.45,Yes,1,2,7.2,Placed
M,64.22,Central,75.01,Central,Science,75.43,Comm&Mgmt,Yes,81.42,Mkt&Fin,64.47,Yes,0,2,6.7,Placed
F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,No,61.0,Mkt&Fin,64.27,Yes,0,5,7.1,Placed
F,80.46,Others,65.34,Others,Commerce,61.29,Comm&Mgmt,Yes,79.64,Mkt&HR,61.39,No,0,5,6.1,Placed
M,57.88,Central,89.77,Central,Commerce,64.57,Sci&Tech,Yes,70.46,Mkt&Fin,63.67,Yes,1,2,7.2,Placed
F,63.61,Others,75.7,Central,Commerce,56.44,Sci&Tech,No,91.66,Mkt&HR,67.12,No,0,0,5.9,Placed
F,61.05,Central,60.87,Others,Commerce,75.55,Comm&Mgmt,No,85.59,Mkt&Fin,59.96,Yes,2,1,6.2,Not Placed
M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,No,0,2,6.5,Placed
M,59.31,Central,73.13,Central,Commerce,60.7,Comm&Mgmt,Yes,50.0,Mkt&HR,58.78,Yes,0,5,6.5,Placed
M,75.77,Central,70.44,Others,Science,63.24,Comm&Mgmt,No,77.78,Mkt&HR,63.86,Yes,0,3,7.7,Placed
M,74.49,Central,75.46,Others,Commerce,75.59,Sci&Tech,No,66.23,Mkt&Fin,59.47,Yes,0,3,7.7,Placed
M,66.1,Central,51.47,Others,Science,74.1,Comm&Mgmt,Yes,90.7,Mkt&Fin,60.49,Yes,0,3,6.4,Placed
M,62.0,Central,67.0,Central,Commerce,58.0,Comm&Mgmt,No,77.0,Mkt&Fin,51.29,No,1,0,6.3,Not Placed
M,76.77,Central,89.16,Others,Commerce,63.54,Sci&Tech,Yes,61.14,Mkt&Fin,59.03,Yes,0,4,5.9,Placed
F,50.28,Others,59.82,Central,Commerce,71.95,Comm&Mgmt,No,78.31,Mkt&Fin,64.92,No,0,2,7.6,Placed
F,51.14,Central,71.37,Others,Science,65.51,Comm&Mgmt,Yes,56.22,Mkt&HR,60.4,No,2,2,6.7,Not Placed
F,68.47,Others,80.99,Others,Commerce,66.8,Comm&Mgmt,No,71.86,Mkt&HR,63.7,No,1,3,5.0,Not Placed
F,66.01,Central,45.73,Central,Commerce,63.6,Others,Yes,71.94,Mkt&HR,64.99,No,0,0,8.0,Not Placed
F,42.34,Central,45.69,Central,Science,61.7,Sci&Tech,No,63.6,Mkt&HR,55.64,No,3,5,5.6,Not Placed
M,65.0,Central,64.8,Others,Commerce,69.5,Comm&Mgmt,Yes,56.0,Mkt&Fin,56.94,Yes,0,1,6.5,Placed
M,84.0,Others,90.9,Others,Science,64.5,Sci&Tech,No,86.04,Mkt&Fin,59.42,Yes,0,4,4.9,Placed
M,81.7,Others,63.0,Others,Science,67.0,Comm&Mgmt,Yes,86.0,Mkt&Fin,70.2,Yes,1,4,7.5,Placed
F,71.16,Others,78.48,Others,Commerce,64.04,Comm&Mgmt,No,65.68,Mkt&HR,60.81,Yes,0,5,8.8,Placed
M,61.0,Others,70.0,Others,Commerce,64.0,Comm&Mgmt,No,68.5,Mkt&HR,59.5,No,1,0,6.6,Not Placed
M,55.6,Others,63.04,Others,Science,58.41,Comm&Mgmt,Yes,50.0,Mkt&Fin,55.59,Yes,2,0,4.1,Not Placed
M,84.86,Others,67.0,Others,Science,78.0,Comm&Mgmt,No,95.5,Mkt&Fin,68.53,No,2,2,7.5,Placed
M,77.16,Central,81.18,Others,Commerce,66.48,Comm&Mgmt,No,72.66,Mkt&HR,59.19,Yes,0,3,9.5,Placed
F,43.0,Central,60.0,Others,Science,65.0,Comm&Mgmt,No,92.66,Mkt&HR,62.92,Yes,3,2,3.5,Not Placed
M,68.84,Others,50.21,Central,Science,74.52,Sci&Tech,Yes,68.14,Mkt&Fin,63.83,Yes,0,3,7.2,Placed
M,63.47,Central,80.09,Others,Commerce,59.67,Sci&Tech,Yes,89.34,Mkt&HR,61.97,No,0,1,6.6,Placed
M,69.0,Central,63.0,Others,Science,65.0,Comm&Mgmt,Yes,55.0,Mkt&HR,58.23,No,0,5,6.7,Placed
F,46.81,Others,65.92,Others,Commerce,61.18,Comm&Mgmt,No,62.33,Mkt&HR,65.77,Yes,1,3,6.9,Not Placed
M,67.0,Others,67.0,Others,Commerce,73.0,Comm&Mgmt,Yes,59.0,Mkt&Fin,69.72,Yes,0,2,8.4,Placed
F,95.0,Central,65.49,Others,Commerce,68.97,Comm&Mgmt,No,62.1,Mkt&Fin,72.53,Yes,2,3,7.5,Placed
F,46.0,Others,49.2,Others,Commerce,79.0,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,No,2,4,2.6,Not Placed
M,65.82,Central,51.9,Central,Commerce,64.58,Sci&Tech,No,64.43,Mkt&Fin,56.76,Yes,0,3,6.8,Placed
F,72.0,Central,56.0,Others,Science,69.0,Comm&Mgmt,No,55.6,Mkt&HR,65.63,Yes,0,2,5.9,Placed
F,67.84,Central,64.88,Others,Science,77.61,Comm&Mgmt,Yes,64.96,Mkt&HR,60.01,Yes,0,1,8.3,Placed
F,68.71,Central,72.52,Others,Commerce,73.4,Comm&Mgmt,No,62.85,Mkt&Fin,58.75,Yes,0,3,7.8,Placed
M,51.57,Others,74.66,Others,Commerce,59.9,Comm&Mgmt,Yes,56.15,Mkt&HR,65.99,No,2,1,6.9,Not Placed
F,62.27,Central,70.14,Others,Science,68.57,Others,Yes,75.87,Mkt&Fin,60.75,No,0,3,7.3,Placed
F,73.0,Central,97.0,Others,Commerce,79.0,Comm&Mgmt,Yes,89.0,Mkt&Fin,70.81,No,0,2,8.1,Placed
M,44.24,Central,48.42,Others,Science,60.15,Sci&Tech,No,55.76,Mkt&Fin,60.65,No,2,0,7.4,Not Placed
M,62.0,Others,63.0,Others,Commerce,64.0,Comm&Mgmt,No,67.0,Mkt&Fin,57.03,No,0,3,10.0,Placed
M,52.0,Others,65.0,Others,Arts,57.0,Others,Yes,75.0,Mkt&Fin,59.81,Yes,0,3,4.8,Not Placed
F,66.89,Central,67.17,Others,Commerce,72.47,Sci&Tech,Yes,58.27,Mkt&Fin,71.99,Yes,0,3,6.1,Placed
M,53.76,Central,67.65,Others,Science,76.38,Comm&Mgmt,No,60.14,Mkt&Fin,60.78,No,2,2,7.9,Placed
M,70.17,Central,56.21,Others,Commerce,65.95,Sci&Tech,No,58.49,Mkt&HR,60.27,No,0,0,5.0,Not Placed
M,70.25,Others,80.73,Central,Science,73.43,Comm&Mgmt,Yes,92.29,Mkt&HR,54.34,Yes,1,2,6.4,Placed
M,74.96,Central,61.62,Others,Science,76.08,Sci&Tech,Yes,81.16,Mkt&HR,65.28,No,1,5,7.1,Placed
M,60.97,Others,97.31,Others,Commerce,72.34,Sci&Tech,Yes,64.28,Mkt&Fin,63.79,Yes,0,2,7.7,Placed
F,57.79,Central,47.33,Central,Commerce,77.43,Comm&Mgmt,No,63.25,Mkt&Fin,63.54,Yes,1,1,7.3,Not Placed
F,75.2,Central,63.76,Others,Science,54.74,Sci&Tech,No,76.39,Mkt&Fin,56.6,Yes,1,3,6.4,Placed
M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,No,86.0,Mkt&Fin,59.75,Yes,0,4,8.4,Placed
M,81.0,Others,68.0,Others,Science,64.0,Sci&Tech,No,93.0,Mkt&Fin,62.56,Yes,0,3,6.7,Placed
M,63.0,Others,67.0,Others,Science,64.0,Sci&Tech,No,75.0,Mkt&Fin,66.46,Yes,0,3,6.2,Placed
F,77.46,Central,52.81,Others,Commerce,65.88,Others,Yes,67.07,Mkt&HR,70.47,Yes,1,2,5.8,Placed
M,83.0,Others,74.0,Others,Science,66.0,Comm&Mgmt,No,68.92,Mkt&HR,58.46,Yes,0,1,5.4,Placed
M,78.12,Central,60.24,Others,Science,67.08,Comm&Mgmt,No,73.6,Mkt&Fin,65.79,Yes,0,3,8.7,Placed
M,41.0,Central,64.48,Others,Commerce,55.79,Comm&Mgmt,No,50.55,Mkt&Fin,52.45,No,1,3,4.8,Not Placed
M,49.0,Others,39.0,Central,Science,65.0,Others,No,63.0,Mkt&Fin,51.21,Yes,3,3,6.0,Not Placed
M,70.49,Central,75.09,Central,Arts,66.86,Sci&Tech,No,89.37,Mkt&Fin,75.56,Yes,0,1,9.1,Placed
M,74.0,Central,70.0,Central,Science,72.0,Comm&Mgmt,Yes,60.0,Mkt&Fin,57.24,Yes,0,1,6.4,Placed
M,76.0,Central,80.0,Central,Science,78.0,Sci&Tech,Yes,97.0,Mkt&HR,70.48,Yes,1,3,5.4,Placed
M,77.92,Others,70.5,Others,Commerce,62.7,Sci&Tech,No,74.03,Mkt&HR,62.5,Yes,0,1,5.3,Placed
M,76.44,Central,57.35,Central,Arts,80.05,Comm&Mgmt,No,84.58,Mkt&Fin,63.95,No,0,3,6.4,Placed
M,55.85,Others,61.13,Others,Commerce,62.23,Sci&Tech,No,69.6,Mkt&Fin,67.17,No,0,5,6.6,Placed
M,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,Yes,60.0,Mkt&Fin,63.7,No,0,0,6.7,Placed
M,64.38,Central,63.24,Central,Commerce,74.34,Comm&Mgmt,No,86.21,Mkt&Fin,65.38,Yes,0,2,8.2,Placed
M,84.0,Others,79.0,Others,Science,68.0,Sci&Tech,Yes,84.0,Mkt&Fin,66.69,Yes,0,2,9.4,Placed
F,85.0,Others,90.0,Others,Commerce,82.0,Comm&Mgmt,No,92.0,Mkt&Fin,68.03,Yes,1,3,7.7,Placed
M,76.52,Others,68.93,Others,Commerce,75.47,Others,No,88.56,Mkt&HR,65.23,No,1,0,5.3,Not Placed
M,67.49,Central,67.49,Central,Commerce,74.95,Comm&Mgmt,No,91.09,Mkt&Fin,60.66,Yes,0,2,8.6,Placed
F,72.19,Others,58.89,Others,Arts,53.86,Comm&Mgmt,Yes,50.0,Mkt&HR,64.73,No,2,1,6.3,Not Placed
M,57.9,Others,50.66,Others,Commerce,68.59,Sci&Tech,No,50.0,Mkt&Fin,62.82,No,0,3,5.0,Not Placed
F,69.0,Central,62.0,Central,Science,66.0,Sci&Tech,No,75.0,Mkt&HR,67.99,No,0,2,3.3,Not Placed
F,77.4,Others,60.0,Others,Science,64.74,Sci&Tech,Yes,92.0,Mkt&Fin,63.62,No,0,3,7.2,Placed
M,67.0,Others,63.0,Others,Science,64.0,Sci&Tech,No,60.0,Mkt&Fin,61.87,Yes,1,2,7.4,Not Placed
M,56.41,Central,50.38,Others,Commerce,70.34,Comm&Mgmt,No,50.0,Mkt&Fin,58.61,Yes,1,0,9.4,Not Placed
M,77.3,Central,69.06,Others,Commerce,75.51,Sci&Tech,No,77.09,Mkt&Fin,67.96,Yes,0,2,8.1,Placed
M,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,57.34,Yes,3,2,7.0,Placed
F,63.3,Central,78.33,Others,Commerce,74.0,Comm&Mgmt,No,80.0,Mkt&Fin,74.56,No,0,3,6.0,Not Placed
M,63.92,Others,63.17,Others,Science,77.93,Sci&Tech,Yes,85.87,Mkt&HR,62.05,Yes,1,4,7.8,Placed
F,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,No,60.0,Mkt&HR,57.29,No,0,5,7.6,Not Placed
F,74.51,Central,69.06,Others,Commerce,64.19,Sci&Tech,Yes,69.38,Mkt&Fin,57.95,Yes,0,3,8.2,Placed
M,58.0,Central,70.0,Central,Commerce,61.0,Comm&Mgmt,No,54.0,Mkt&Fin,52.21,Yes,2,5,8.7,Not Placed
M,73.24,Others,50.83,Others,Science,64.27,Sci&Tech,Yes,64.0,Mkt&Fin,66.23,Yes,2,2,8.2,Placed
M,72.01,Others,55.54,Others,Science,59.9,Sci&Tech,Yes,55.69,Mkt&HR,51.0,Yes,1,2,4.9,Not Placed
M,70.94,Others,61.17,Others,Science,74.15,Comm&Mgmt,No,50.0,Mkt&Fin,51.88,Yes,1,0,6.7,Not Placed
M,55.36,Central,53.56,Central,Science,72.07,Sci&Tech,Yes,72.76,Mkt&HR,54.37,Yes,1,3,7.1,Not Placed
M,78.35,Central,72.79,Others,Commerce,77.4,Comm&Mgmt,Yes,77.64,Mkt&HR,66.48,No,0,2,9.9,Placed
M,70.0,Central,63.0,Others,Science,70.0,Sci&Tech,Yes,55.0,Mkt&Fin,62.0,Yes,0,2,7.8,Placed
M,84.58,Central,74.8,Central,Commerce,77.43,Comm&Mgmt,Yes,80.03,Mkt&Fin,64.41,No,1,4,5.6,Placed
M,72.0,Others,63.0,Others,Science,77.5,Sci&Tech,Yes,78.0,Mkt&Fin,54.48,Yes,1,5,6.8,Placed
F,70.93,Central,62.83,Central,Commerce,65.26,Comm&Mgmt,No,66.28,Mkt&HR,53.12,Yes,3,2,6.3,Not Placed
M,57.73,Others,55.41,Central,Science,72.15,Others,No,63.97,Mkt&Fin,60.44,No,0,1,6.7,Not Placed
F,59.23,Others,84.34,Central,Commerce,71.78,Comm&Mgmt,Yes,76.66,Mkt&HR,61.18,Yes,0,5,7.0,Placed
F,76.43,Central,58.96,Others,Science,50.31,Comm&Mgmt,No,50.0,Mkt&HR,51.59,No,0,0,5.0,Not Placed
F,66.74,Others,84.55,Others,Commerce,70.94,Sci&Tech,No,67.35,Mkt&Fin,60.57,Yes,0,4,8.5,Placed
M,49.0,Others,59.0,Others,Science,65.0,Sci&Tech,Yes,86.0,Mkt&Fin,62.48,Yes,0,5,8.0,Placed
F,59.0,Central,62.0,Others,Commerce,77.5,Comm&Mgmt,No,74.0,Mkt&HR,67.0,No,1,0,6.1,Not Placed
F,60.23,Central,69.0,Central,Science,66.0,Comm&Mgmt,No,72.0,Mkt&Fin,59.47,Yes,0,2,6.0,Placed
F,68.7,Others,61.8,Others,Science,69.22,Comm&Mgmt,No,72.53,Mkt&Fin,71.39,No,0,3,6.3,Placed
F,69.7,Central,47.0,Central,Commerce,72.7,Sci&Tech,No,79.0,Mkt&HR,59.24,Yes,3,3,4.5,Not Placed
F,65.0,Central,75.0,Central,Commerce,69.0,Comm&Mgmt,Yes,72.0,Mkt&Fin,64.66,Yes,0,4,8.0,Placed
M,57.96,Central,47.63,Others,Commerce,66.91,Sci&Tech,No,73.36,Mkt&Fin,60.74,Yes,0,5,6.8,Placed
F,59.0,Central,60.0,Others,Commerce,56.0,Comm&Mgmt,No,55.0,Mkt&HR,57.9,Yes,1,2,8.0,Placed
F,66.0,Central,62.0,Central,Commerce,73.0,Comm&Mgmt,No,58.0,Mkt&HR,64.36,Yes,0,4,6.2,Placed
M,61.91,Central,67.4,Others,Commerce,56.42,Comm&Mgmt,Yes,71.32,Mkt&Fin,65.99,Yes,0,3,5.4,Placed
M,77.0,Others,75.0,Others,Science,73.0,Sci&Tech,No,80.0,Mkt&Fin,67.05,No,0,2,8.4,Placed
M,67.68,Others,65.22,Others,Science,71.58,Comm&Mgmt,Yes,72.56,Mkt&Fin,65.35,Yes,0,3,8.3,Placed
F,77.45,Central,63.35,Others,Commerce,61.71,Comm&Mgmt,Yes,70.47,Mkt&HR,60.9,Yes,0,1,8.9,Placed
F,87.0,Others,65.0,Others,Science,81.0,Comm&Mgmt,Yes,88.0,Mkt&Fin,72.78,Yes,0,1,7.5,Placed
M,67.0,Others,91.0,Others,Commerce,58.0,Sci&Tech,No,55.0,Mkt&HR,58.8,No,2,4,6.2,Placed
M,61.41,Central,90.6,Others,Science,67.27,Comm&Mgmt,No,98.0,Mkt&HR,70.97,Yes,1,2,7.1,Placed
F,76.39,Central,73.97,Central,Commerce,63.52,Comm&Mgmt,Yes,67.69,Mkt&HR,68.94,Yes,0,2,7.4,Placed
F,79.36,Central,74.84,Central,Commerce,66.8,Comm&Mgmt,No,52.76,Mkt&HR,67.85,Yes,0,4,8.0,Placed
F,75.62,Central,69.88,Others,Science,66.45,Comm&Mgmt,No,98.0,Mkt&Fin,59.91,Yes,1,1,8.3,Placed
F,76.21,Others,79.26,Central,Commerce,55.65,Comm&Mgmt,No,92.57,Mkt&HR,65.96,Yes,2,4,6.9,Placed
M,43.27,Others,42.68,Others,Commerce,50.65,Sci&Tech,No,69.43,Mkt&Fin,52.51,No,2,3,4.6,Not Placed
F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,No,55.53,Mkt&HR,68.81,No,0,5,6.5,Placed
M,68.44,Central,75.76,Others,Commerce,79.38,Comm&Mgmt,No,81.99,Mkt&HR,66.27,Yes,1,5,6.5,Placed
M,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,Yes,96.0,Mkt&Fin,70.85,No,0,3,8.7,Placed
F,84.0,Others,75.0,Others,Science,69.0,Sci&Tech,Yes,62.0,Mkt&HR,62.36,Yes,1,2,7.7,Placed
M,71.68,Others,64.13,Others,Commerce,68.57,Comm&Mgmt,No,93.51,Mkt&HR,66.78,Yes,0,4,6.9,Placed
F,75.15,Others,76.86,Central,Arts,55.46,Comm&Mgmt,No,58.54,Mkt&HR,59.58,Yes,0,2,6.5,Not Placed
F,63.0,Central,66.0,Central,Commerce,64.0,Comm&Mgmt,No,68.0,Mkt&HR,64.08,No,0,1,4.7,Not Placed
F,61.84,Others,62.72,Central,Commerce,77.44,Comm&Mgmt,Yes,89.96,Mkt&HR,64.14,Yes,3,2,7.7,Placed
M,82.02,Others,81.09,Central,Commerce,58.15,Comm&Mgmt,No,80.47,Mkt&HR,69.08,Yes,0,2,6.8,Placed
M,52.0,Others,50.0,Others,Arts,61.0,Comm&Mgmt,No,60.0,Mkt&Fin,58.52,No,1,0,5.4,Not Placed
M,75.47,Others,78.89,Central,Science,77.75,Comm&Mgmt,Yes,88.45,Mkt&Fin,59.33,Yes,0,3,5.8,Placed
F,76.49,Others,77.27,Others,Arts,76.24,Sci&Tech,No,69.49,Mkt&HR,63.36,Yes,1,2,8.8,Placed
M,59.5,Others,48.62,Others,Science,70.44,Comm&Mgmt,No,91.77,Mkt&HR,51.0,Yes,1,5,6.6,Not Placed
F,46.82,Others,67.09,Central,Commerce,63.8,Comm&Mgmt,No,59.12,Mkt&Fin,67.03,No,1,1,6.2,Not Placed
M,78.9,Others,54.35,Others,Science,60.37,Sci&Tech,No,50.0,Mkt&HR,54.02,No,2,4,4.9,Not Placed
M,61.16,Central,72.76,Central,Science,74.97,Comm&Mgmt,No,75.51,Mkt&HR,64.35,Yes,0,2,8.2,Placed
M,71.28,Central,56.23,Others,Commerce,61.4,Others,No,82.47,Mkt&Fin,58.05,No,0,1,8.3,Not Placed
F,41.0,Central,66.98,Others,Science,61.16,Comm&Mgmt,No,52.64,Mkt&Fin,61.85,No,0,3,7.0,Not Placed
M,67.9,Others,62.0,Others,Science,67.0,Sci&Tech,Yes,58.1,Mkt&Fin,75.71,No,3,1,6.2,Not Placed
F,74.0,Central,60.0,Others,Science,69.0,Comm&Mgmt,No,78.0,Mkt&HR,65.56,No,0,5,6.0,Placed
F,58.56,Others,76.44,Others,Commerce,63.73,Comm&Mgmt,No,80.66,Mkt&Fin,62.86,Yes,0,1,7.4,Placed
F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,No,68.0,Mkt&HR,71.63,No,2,0,3.0,Not Placed
M,52.0,Central,62.0,Central,Commerce,54.0,Comm&Mgmt,No,72.0,Mkt&HR,55.41,Yes,1,3,5.3,Not Placed
M,60.51,Central,73.91,Others,Commerce,65.94,Comm&Mgmt,No,58.38,Mkt&Fin,64.57,Yes,0,5,7.6,Placed
M,61.0,Central,82.0,Central,Commerce,69.0,Comm&Mgmt,No,84.0,Mkt&Fin,58.31,Yes,0,3,6.7,Placed
F,45.0,Others,77.33,Others,Science,67.87,Comm&Mgmt,Yes,90.12,Mkt&HR,59.6,No,1,3,6.7,Placed
M,66.0,Central,76.0,Central,Commerce,72.0,Comm&Mgmt,Yes,84.0,Mkt&HR,58.95,Yes,0,3,9.0,Placed
F,84.1,Central,72.82,Central,Science,72.26,Comm&Mgmt,Yes,75.41,Mkt&HR,62.41,Yes,0,3,7.6,Placed
F,50.05,Central,72.4,Central,Commerce,65.25,Comm&Mgmt,No,59.89,Mkt&HR,69.43,Yes,0,5,9.1,Placed
