cgpa,internships,projects,workshops,aptitude_score,soft_skills,extracurricular,placement_training,ssc_marks,hsc_marks,status
7.9,0,1,2,83,4.8,Yes,No,58,81,Not Placed
7.4,1,2,1,63,3.9,No,No,55,67,Not Placed
7.3,1,1,0,80,4.7,No,Yes,64,65,Not Placed
6.5,1,1,1,62,3.8,No,Yes,58,65,Not Placed
7.5,2,1,1,76,4.2,Yes,Yes,57,80,Not Placed
6.5,1,1,0,68,4.1,No,No,61,66,Not Placed
8.5,2,3,2,90,4.8,Yes,Yes,72,87,Placed
6.7,0,1,1,74,3.9,No,No,55,70,Not Placed
6.5,0,1,0,82,4.4,No,No,65,69,Not Placed
8.1,1,3,2,90,4.8,Yes,Yes,79,84,Placed
8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed
8.0,1,1,3,84,4.0,No,Yes,57,61,Not Placed
7.3,1,3,1,81,4.2,Yes,Yes,69,65,Not Placed
7.4,1,1,1,81,4.1,Yes,No,55,62,Not Placed
8.6,2,3,0,81,4.7,Yes,No,71,83,Placed
6.7,2,1,2,76,4.8,Yes,No,55,78,Not Placed
7.6,1,1,1,67,3.5,No,No,55,67,Not Placed
8.8,1,3,2,90,4.6,Yes,Yes,83,83,Placed
6.5,1,2,0,65,4.4,No,Yes,61,68,Not Placed
6.5,1,2,1,78,4.2,No,No,62,62,Not Placed
7.4,1,2,1,75,4.2,No,Yes,55,74,Not Placed
8.7,2,3,2,81,4.7,Yes,Yes,85,79,Placed
8.0,1,1,1,68,4.2,No,Yes,59,66,Not Placed
7.7,1,3,2,90,4.8,Yes,No,80,85,Placed
7.3,1,1,0,64,3.2,No,Yes,58,67,Not Placed
8.4,2,1,2,76,4.1,No,No,56,63,Not Placed
7.7,1,2,0,73,4.0,No,Yes,65,75,Placed
7.5,1,1,1,68,4.7,No,No,58,64,Not Placed
7.4,0,1,0,79,4.3,No,No,63,73,Not Placed
7.4,1,1,1,64,4.3,No,Yes,73,73,Not Placed
8.5,1,2,2,90,4.8,Yes,Yes,80,86,Placed
8.0,1,3,0,80,4.4,Yes,Yes,85,84,Placed
6.5,1,1,1,72,3.8,No,No,64,67,Not Placed
8.4,1,1,0,81,4.6,Yes,No,78,82,Placed
8.7,0,3,2,88,4.8,No,No,87,84,Not Placed
8.0,0,1,0,60,4.0,No,No,57,70,Not Placed
8.4,2,3,1,88,4.6,Yes,Yes,74,82,Not Placed
8.2,2,3,2,90,4.4,Yes,Yes,90,81,Placed
8.1,2,2,2,90,4.5,Yes,Yes,73,82,Placed
7.9,1,3,1,75,3.7,No,Yes,62,65,Not Placed
8.9,2,3,2,90,4.8,Yes,Yes,69,85,Placed
6.5,1,1,1,72,4.5,No,No,66,70,Not Placed
7.6,1,1,0,73,4.3,No,Yes,55,76,Placed
8.4,1,3,2,90,4.6,Yes,Yes,67,80,Placed
7.8,2,3,0,77,4.8,Yes,Yes,79,87,Not Placed
8.4,1,2,1,74,4.3,Yes,Yes,59,80,Placed
7.6,1,2,0,74,3.7,No,Yes,58,74,Placed
7.9,1,1,1,62,4.6,Yes,Yes,87,82,Not Placed
7.9,1,3,1,80,4.2,Yes,Yes,56,82,Placed
8.0,2,1,2,90,4.8,Yes,Yes,74,81,Not Placed
7.9,2,1,0,83,4.0,Yes,Yes,63,70,Not Placed
8.4,2,3,2,90,4.8,Yes,Yes,90,85,Placed
8.6,0,3,2,90,4.8,Yes,Yes,73,78,Placed
7.8,0,1,0,81,3.9,Yes,Yes,79,65,Placed
8.1,2,3,3,90,4.8,Yes,Yes,80,83,Placed
7.2,1,3,1,75,4.2,Yes,Yes,64,84,Not Placed
7.7,0,1,0,81,4.8,Yes,Yes,69,63,Placed
8.4,1,3,2,90,4.5,Yes,Yes,79,86,Placed
8.0,1,3,1,87,4.6,Yes,Yes,72,83,Not Placed
7.8,0,1,1,72,4.0,No,No,61,69,Not Placed
6.5,1,1,0,63,3.5,No,No,56,64,Not Placed
6.5,0,3,0,71,3.6,No,Yes,57,74,Not Placed
7.9,1,2,1,81,4.0,Yes,Yes,60,71,Not Placed
6.7,1,1,0,75,4.2,No,No,56,64,Not Placed
6.9,0,1,0,73,4.1,No,Yes,55,69,Placed
6.5,1,1,2,85,4.3,Yes,No,62,72,Placed
6.5,0,1,1,79,3.9,No,No,55,66,Not Placed
7.3,1,1,1,71,3.6,No,No,65,64,Not Placed
8.3,2,3,0,71,4.6,Yes,Yes,77,82,Placed
7.5,1,1,1,74,3.9,No,No,63,65,Not Placed
8.0,2,3,3,76,4.1,Yes,Yes,78,61,Not Placed
8.3,1,2,1,69,3.8,No,Yes,76,71,Not Placed
6.6,0,3,0,87,4.5,No,No,80,82,Not Placed
7.4,0,3,0,90,4.6,No,No,65,70,Not Placed
8.0,1,1,1,78,4.4,No,No,66,68,Not Placed
8.0,2,3,2,90,4.8,Yes,Yes,78,86,Placed
6.7,1,2,0,73,4.5,No,Yes,55,65,Not Placed
8.3,1,2,3,78,3.8,Yes,No,67,65,Not Placed
8.5,1,3,2,90,4.8,Yes,Yes,61,86,Placed
7.5,2,1,2,90,4.8,Yes,No,55,65,Not Placed
7.4,1,1,0,60,3.4,No,No,58,62,Not Placed
8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed
8.2,1,3,0,82,4.8,Yes,Yes,70,73,Placed
6.5,1,1,0,74,4.2,No,Yes,74,61,Not Placed
7.7,1,1,0,71,4.7,No,Yes,57,69,Not Placed
7.3,1,2,2,67,4.5,No,No,63,66,Not Placed
6.5,0,1,0,78,3.7,Yes,Yes,75,69,Not Placed
6.5,1,1,1,68,4.1,No,No,55,65,Not Placed
7.5,1,1,0,76,4.3,No,Yes,73,79,Not Placed
7.8,1,1,1,65,3.9,No,No,55,70,Not Placed
6.8,1,1,0,78,4.3,No,No,61,62,Not Placed
8.4,2,3,2,90,4.1,Yes,Yes,76,82,Placed
7.8,2,2,2,80,4.6,No,Yes,59,74,Placed
7.5,1,2,0,77,4.2,Yes,Yes,58,63,Not Placed
8.9,0,1,2,80,4.8,Yes,Yes,75,82,Placed
6.5,0,1,0,75,3.7,No,No,58,62,Not Placed
8.4,1,1,2,87,4.1,No,No,78,70,Not Placed
8.1,0,1,0,71,3.6,Yes,No,69,67,Not Placed
8.5,2,3,0,86,4.2,Yes,Yes,60,85,Placed
7.6,1,1,1,82,4.8,Yes,Yes,79,86,Placed
7.8,2,3,0,79,4.3,Yes,No,87,87,Not Placed
8.6,1,3,2,90,4.7,Yes,Yes,68,84,Placed
7.9,2,3,2,76,4.6,Yes,Yes,79,82,Placed
6.5,0,2,2,75,4.5,Yes,No,65,59,Not Placed
8.2,0,2,1,82,4.5,Yes,Yes,78,87,Placed
8.2,1,1,0,81,4.3,Yes,Yes,60,70,Placed
7.6,1,1,0,64,4.1,No,No,69,67,Not Placed
7.3,1,2,1,84,4.6,No,Yes,55,72,Not Placed
8.4,2,3,2,90,4.5,Yes,Yes,85,79,Placed
8.3,2,3,3,90,4.5,Yes,Yes,70,88,Placed
7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed
8.3,1,2,1,82,4.7,Yes,Yes,77,84,Not Placed
7.5,1,1,1,69,4.1,No,No,55,75,Not Placed
8.6,2,3,2,78,4.8,Yes,Yes,82,81,Not Placed
7.8,2,2,2,77,4.2,Yes,No,57,69,Not Placed
6.6,1,1,1,71,4.3,No,No,70,66,Not Placed
7.4,0,1,1,70,4.2,No,No,61,70,Not Placed
6.9,1,2,1,74,4.1,No,No,55,69,Not Placed
6.6,1,1,0,77,4.5,No,No,62,70,Not Placed
8.3,1,2,2,88,4.1,Yes,Yes,80,79,Placed
7.9,2,2,2,88,4.8,Yes,Yes,81,85,Placed
6.6,1,2,1,76,4.1,Yes,Yes,82,69,Not Placed
8.0,2,3,2,86,4.8,Yes,Yes,62,83,Placed
7.5,1,2,0,86,3.8,No,No,55,68,Not Placed
7.9,2,3,2,90,4.8,Yes,No,81,78,Not Placed
8.3,1,3,2,78,3.9,Yes,Yes,60,61,Placed
7.4,1,1,0,74,3.5,No,Yes,67,62,Not Placed
8.0,2,2,2,87,3.8,Yes,Yes,79,78,Placed
8.7,2,3,2,87,4.7,Yes,Yes,80,84,Placed
7.4,1,2,0,77,4.5,No,Yes,66,86,Not Placed
7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed
7.5,1,1,1,70,4.6,No,No,59,66,Not Placed
7.4,2,1,1,87,4.5,Yes,Yes,68,84,Not Placed
7.7,0,1,1,69,4.8,Yes,Yes,78,65,Not Placed
7.8,0,1,1,70,3.8,No,Yes,73,73,Not Placed
7.5,2,3,0,88,4.6,Yes,Yes,79,83,Not Placed
8.2,2,3,1,69,4.0,Yes,Yes,77,82,Not Placed
7.8,1,3,2,75,4.3,Yes,Yes,77,86,Not Placed
7.6,1,1,0,72,4.6,Yes,Yes,68,84,Not Placed
8.5,2,3,2,90,4.8,Yes,Yes,80,79,Placed
6.7,0,1,1,71,4.7,No,Yes,76,70,Not Placed
7.6,1,3,0,82,4.5,No,Yes,56,72,Not Placed
7.6,0,2,0,80,3.7,Yes,No,85,61,Not Placed
7.3,1,2,0,71,4.4,No,Yes,58,67,Not Placed
8.1,1,2,1,78,3.5,No,Yes,71,70,Not Placed
7.6,2,3,0,88,4.4,No,Yes,80,68,Placed
7.4,1,2,0,77,3.8,No,Yes,59,63,Not Placed
8.4,0,2,1,85,4.3,Yes,Yes,62,81,Placed
6.7,1,2,1,73,4.3,No,Yes,71,66,Not Placed
6.5,1,1,0,70,4.7,No,Yes,79,64,Not Placed
7.4,1,2,1,68,3.4,No,Yes,57,61,Not Placed
8.4,2,3,1,76,4.1,Yes,Yes,68,64,Not Placed
6.5,1,1,0,68,4.3,No,Yes,55,70,Not Placed
6.6,1,2,1,82,4.4,Yes,Yes,74,82,Not Placed
8.1,0,2,2,80,4.4,Yes,No,82,85,Placed
6.5,1,1,0,74,4.2,No,No,59,65,Not Placed
8.5,1,3,2,75,4.5,Yes,Yes,75,84,Not Placed
8.7,2,3,2,90,4.8,Yes,Yes,83,81,Placed
7.5,1,2,3,86,4.8,No,Yes,60,67,Not Placed
8.1,2,3,2,90,4.8,Yes,Yes,86,88,Placed
8.2,1,3,1,83,4.1,Yes,Yes,77,83,Not Placed
8.7,2,1,0,66,4.8,Yes,No,70,59,Not Placed
6.6,0,1,2,72,4.2,No,Yes,86,88,Placed
8.1,0,2,3,78,4.1,Yes,Yes,81,78,Placed
6.5,1,3,0,80,3.7,No,No,59,66,Not Placed
7.4,1,1,0,88,4.5,No,Yes,76,71,Placed
8.2,2,3,2,80,4.8,Yes,Yes,79,84,Placed
6.8,2,2,2,80,4.6,No,Yes,61,69,Not Placed
8.0,1,2,1,76,4.5,No,Yes,68,75,Not Placed
8.5,1,3,0,82,4.4,Yes,Yes,68,88,Placed
6.6,1,2,1,65,4.1,No,No,56,58,Not Placed
8.4,1,2,0,79,3.8,No,Yes,60,64,Not Placed
7.8,1,1,1,79,3.7,No,Yes,56,59,Not Placed
7.7,1,2,0,81,3.8,Yes,Yes,65,59,Not Placed
6.8,1,1,0,73,3.7,No,Yes,55,65,Not Placed
7.3,1,2,1,71,4.7,No,No,59,57,Not Placed
6.5,2,2,2,79,4.5,Yes,Yes,83,87,Placed
8.3,2,1,1,83,4.5,Yes,Yes,82,86,Not Placed
7.3,1,2,1,79,3.8,No,Yes,58,73,Not Placed
6.8,1,2,1,65,3.9,Yes,Yes,71,85,Placed
8.7,1,3,2,90,4.8,Yes,Yes,69,88,Placed
8.3,2,3,1,90,4.8,Yes,No,55,80,Placed
8.2,1,2,1,79,3.8,Yes,Yes,55,70,Not Placed
8.2,1,1,2,86,4.4,No,No,76,82,Not Placed
8.5,0,2,0,81,3.2,No,Yes,55,63,Not Placed
8.0,0,1,1,87,3.8,No,Yes,55,71,Not Placed
7.9,1,1,0,77,4.7,Yes,Yes,64,60,Not Placed
7.7,1,1,2,82,4.4,No,No,55,70,Not Placed
7.6,0,3,3,75,4.3,Yes,Yes,82,87,Placed
6.7,1,3,0,77,4.1,Yes,Yes,69,67,Not Placed
8.5,0,2,2,75,4.5,Yes,No,76,83,Placed
8.8,1,2,2,90,4.8,Yes,No,75,88,Placed
6.5,2,3,1,82,4.6,Yes,No,83,63,Not Placed
7.5,0,1,1,80,4.2,Yes,No,84,64,Not Placed
7.7,2,3,2,78,4.6,Yes,Yes,78,83,Not Placed
7.7,0,1,0,79,4.8,No,Yes,58,71,Not Placed
8.6,1,1,2,84,4.3,Yes,Yes,57,82,Placed
7.5,0,2,0,69,3.6,No,No,61,59,Not Placed
6.8,1,1,0,68,4.3,No,Yes,65,69,Not Placed
8.1,0,3,2,90,4.8,Yes,Yes,69,84,Not Placed
8.4,2,3,3,82,4.5,Yes,No,82,85,Placed
7.5,1,1,0,67,3.4,No,No,65,71,Not Placed
8.1,1,3,0,70,4.8,Yes,No,71,72,Not Placed
7.4,1,1,1,64,4.0,No,No,55,62,Not Placed
8.4,2,3,2,80,4.6,Yes,Yes,72,79,Placed
8.2,0,3,2,90,4.8,Yes,Yes,79,80,Placed
8.0,1,2,1,80,4.3,No,Yes,71,61,Not Placed
7.9,0,3,2,90,4.8,Yes,Yes,68,83,Placed
6.8,0,1,0,77,3.3,No,No,64,69,Not Placed
8.3,2,3,2,82,4.6,Yes,Yes,76,85,Placed
7.4,1,2,1,75,4.3,No,Yes,55,85,Not Placed
7.6,1,1,0,66,4.1,No,Yes,62,73,Not Placed
8.5,2,3,1,90,4.8,Yes,Yes,78,82,Not Placed
8.2,2,3,2,90,4.6,Yes,Yes,77,88,Placed
8.2,1,3,2,90,4.3,No,Yes,77,82,Placed
6.5,1,1,0,79,3.6,No,Yes,55,64,Not Placed
7.5,1,1,2,82,4.5,Yes,Yes,77,84,Placed
7.5,1,2,1,85,4.1,No,Yes,71,84,Not Placed
6.6,0,1,1,67,4.3,No,Yes,56,65,Not Placed
7.6,1,1,1,88,4.5,Yes,Yes,83,86,Placed
7.5,1,1,1,81,4.5,Yes,Yes,64,68,Not Placed
7.5,0,2,1,66,4.5,No,Yes,61,71,Placed
8.5,2,3,1,85,4.3,Yes,Yes,88,80,Placed
7.9,2,1,0,71,4.8,No,Yes,56,66,Not Placed
8.2,0,2,0,85,4.1,Yes,No,57,70,Not Placed
7.2,1,2,0,69,4.0,No,Yes,55,61,Not Placed
8.6,2,3,2,90,4.8,Yes,Yes,75,84,Placed
6.5,1,1,1,78,3.9,No,Yes,67,73,Placed
8.7,1,3,0,86,4.5,Yes,Yes,77,81,Placed
7.8,1,2,0,78,4.8,Yes,Yes,75,65,Placed
7.7,1,1,0,80,4.0,No,Yes,55,66,Not Placed
6.5,0,2,0,80,4.6,Yes,Yes,62,86,Placed
8.5,1,2,1,71,3.8,Yes,Yes,78,69,Not Placed
7.4,2,3,0,86,4.6,Yes,Yes,75,72,Placed
8.6,1,3,2,81,4.8,Yes,Yes,71,82,Placed
8.0,1,2,1,88,3.6,No,Yes,69,69,Not Placed
7.8,1,3,1,89,4.6,Yes,Yes,73,79,Placed
8.1,1,3,2,90,4.7,Yes,No,72,87,Placed
7.2,1,2,0,83,4.5,No,Yes,74,69,Not Placed
8.4,2,3,2,87,4.8,Yes,Yes,78,88,Placed
8.4,0,3,2,85,4.6,Yes,Yes,90,79,Not Placed
8.3,0,3,1,88,4.7,Yes,Yes,69,80,Not Placed
7.2,0,2,1,66,3.9,No,No,67,69,Not Placed
8.6,2,3,2,90,4.8,Yes,Yes,77,86,Placed
7.9,2,1,0,73,4.2,No,No,56,71,Not Placed
6.6,1,1,2,81,4.8,Yes,No,68,71,Not Placed
7.1,1,1,1,63,3.6,No,Yes,58,68,Not Placed
7.8,0,3,0,90,4.7,Yes,Yes,72,69,Placed
6.6,1,1,1,81,4.0,No,No,73,72,Not Placed
6.5,2,3,0,79,3.7,Yes,Yes,68,86,Not Placed
7.5,2,1,0,83,4.6,Yes,No,58,81,Not Placed
7.5,1,2,0,70,3.7,No,Yes,55,66,Not Placed
7.8,0,2,2,74,4.6,Yes,Yes,58,60,Not Placed
6.6,1,2,0,71,4.0,No,No,55,68,Placed
7.4,1,2,0,72,4.3,No,Yes,55,62,Not Placed
7.8,1,3,2,77,4.2,Yes,No,77,82,Not Placed
8.2,2,3,2,90,4.8,Yes,Yes,89,84,Placed
8.9,2,3,2,89,4.6,Yes,Yes,71,83,Placed
8.2,1,2,1,90,4.8,Yes,Yes,78,71,Placed
7.5,1,3,0,70,4.2,No,Yes,60,68,Not Placed
7.7,1,2,0,68,3.9,No,Yes,62,63,Not Placed
8.7,1,3,2,90,4.7,Yes,Yes,81,80,Placed
7.5,1,1,1,65,4.4,No,Yes,55,60,Not Placed
6.6,1,1,1,82,3.7,No,Yes,55,60,Placed
7.4,2,3,1,84,4.8,No,Yes,77,68,Placed
7.5,0,3,2,90,4.8,Yes,Yes,82,81,Placed
8.2,1,1,1,79,4.6,No,Yes,55,61,Not Placed
8.7,1,2,0,84,4.4,Yes,Yes,65,88,Placed
8.0,2,3,1,87,4.2,Yes,Yes,75,81,Placed
8.4,2,2,0,76,4.4,Yes,Yes,77,73,Placed
8.0,2,2,2,81,4.5,No,No,69,71,Not Placed
7.5,1,2,2,70,4.7,Yes,Yes,55,70,Not Placed
6.5,1,3,2,90,4.0,Yes,No,85,65,Placed
7.8,0,3,2,73,4.6,Yes,No,82,85,Not Placed
7.6,1,2,0,64,4.5,No,Yes,62,63,Not Placed
8.7,0,3,0,75,3.7,Yes,Yes,62,74,Not Placed
7.2,1,1,0,85,3.5,No,Yes,84,70,Not Placed
8.1,1,3,2,90,4.7,Yes,Yes,70,85,Placed
7.4,1,2,0,77,4.1,Yes,Yes,55,77,Not Placed
8.2,2,2,2,81,4.8,Yes,Yes,78,83,Placed
8.2,2,1,2,90,4.8,Yes,Yes,79,68,Placed
6.5,1,2,1,65,4.0,Yes,Yes,66,69,Not Placed
7.4,0,2,1,73,3.8,No,No,58,70,Not Placed
7.3,0,1,1,80,3.6,No,Yes,62,65,Not Placed
8.7,0,1,1,87,4.1,No,No,72,63,Not Placed
8.5,2,1,3,82,3.6,Yes,Yes,67,81,Not Placed
8.5,1,3,2,74,4.1,No,Yes,76,68,Placed
7.9,1,2,1,76,4.1,Yes,Yes,57,66,Not Placed
7.4,2,3,0,71,4.8,Yes,Yes,86,73,Not Placed
6.7,1,2,0,86,4.4,No,No,76,73,Placed
8.3,2,3,2,82,4.8,Yes,Yes,57,73,Placed
7.6,1,1,0,76,4.3,No,Yes,66,69,Not Placed
7.5,1,2,0,90,4.2,No,Yes,77,64,Placed
8.9,0,3,0,89,4.8,Yes,No,77,78,Placed
7.3,1,1,0,79,4.1,Yes,No,57,64,Not Placed
8.6,1,2,0,86,4.8,Yes,Yes,69,77,Placed
8.2,2,3,2,90,4.8,Yes,Yes,81,84,Placed
7.7,1,1,1,73,4.6,No,No,58,72,Not Placed
7.9,1,3,0,88,4.7,Yes,Yes,87,85,Placed
7.4,1,1,1,87,4.6,No,Yes,68,65,Not Placed
6.9,0,1,0,90,4.5,Yes,Yes,81,80,Placed
8.0,1,3,2,90,4.8,Yes,Yes,81,86,Placed
7.1,1,3,0,81,4.4,Yes,Yes,78,72,Not Placed
6.9,0,1,1,76,3.8,No,No,61,67,Not Placed
8.5,2,3,2,90,4.8,Yes,Yes,80,84,Placed
6.9,0,1,2,76,4.8,Yes,No,78,82,Placed
7.3,1,1,1,77,4.7,Yes,Yes,57,75,Not Placed
7.8,2,3,0,89,4.6,No,Yes,71,68,Not Placed
8.3,2,1,0,81,4.1,Yes,Yes,76,83,Not Placed
8.6,1,3,2,83,4.4,Yes,Yes,71,83,Placed
8.6,2,3,0,87,4.8,No,No,75,66,Not Placed
8.7,2,1,0,90,4.7,Yes,Yes,74,86,Placed
7.5,1,3,2,90,4.2,Yes,Yes,80,72,Placed
7.8,0,1,1,63,4.5,No,No,61,65,Not Placed
6.5,0,1,0,71,3.4,No,Yes,59,67,Not Placed
7.6,1,3,1,73,4.4,No,Yes,55,62,Not Placed
6.5,1,1,1,80,3.8,Yes,Yes,58,65,Not Placed
8.0,1,3,0,75,4.3,No,No,57,66,Not Placed
8.0,2,3,0,86,4.8,Yes,Yes,73,82,Placed
7.5,1,1,0,67,4.2,Yes,Yes,57,70,Placed
7.8,1,3,0,78,4.4,No,Yes,77,70,Placed
7.3,1,1,1,75,3.6,No,Yes,55,66,Not Placed
7.8,1,2,0,82,4.7,Yes,Yes,77,67,Not Placed
6.5,1,1,1,82,3.4,No,No,56,66,Not Placed
8.1,1,3,3,90,4.8,Yes,Yes,69,82,Placed
7.9,0,1,0,85,4.5,Yes,No,76,81,Not Placed
8.7,1,3,0,74,4.6,Yes,Yes,86,83,Placed
7.1,2,2,0,76,4.0,No,Yes,55,69,Placed
8.9,1,3,2,81,4.8,Yes,No,82,81,Placed
8.3,0,3,0,75,4.2,Yes,No,77,69,Not Placed
8.3,1,2,0,90,4.5,Yes,Yes,82,80,Placed
7.9,2,3,2,86,4.7,Yes,Yes,69,82,Placed
8.1,2,3,2,90,4.5,Yes,Yes,78,81,Placed
7.7,2,1,1,64,3.7,No,Yes,77,70,Not Placed
8.1,2,3,2,85,4.5,Yes,Yes,76,88,Placed
7.8,1,3,0,81,4.3,No,No,64,70,Not Placed
7.2,1,1,1,67,3.8,No,No,59,63,Not Placed
8.4,1,1,2,84,4.8,Yes,Yes,82,68,Placed
8.4,2,3,2,90,4.8,Yes,Yes,82,86,Placed
